path,team,score
fan/maillots-fan (1).jpeg,Northern Ireland,0.3573981523513794
fan/maillots-fan (10).jpeg,Bulgaria,0.3026166558265686
fan/maillots-fan (100).jpeg,SL Benfica,0.4042055010795593
fan/maillots-fan (1000).jpeg,Everton FC,0.3486352860927582
fan/maillots-fan (1001).jpeg,SS Lazio,0.35973453521728516
fan/maillots-fan (1002).jpeg,UAE,0.3906024694442749
fan/maillots-fan (1003).jpeg,Milan,0.3358779847621918
fan/maillots-fan (1004).jpeg,Club Atlético River Plate,0.3857228755950928
fan/maillots-fan (1005).jpeg,Kazakhstan,0.34179261326789856
fan/maillots-fan (1006).jpeg,Club Atlético River Plate,0.3857228755950928
fan/maillots-fan (1007).jpeg,Valencia,0.3395856022834778
fan/maillots-fan (1008).jpeg,Celtic FC,0.36535704135894775
fan/maillots-fan (1009).jpeg,Celtic FC,0.3583250939846039
fan/maillots-fan (101).jpeg,Paris Fc,0.3382502794265747
fan/maillots-fan (1010).jpeg,Newcastle United,0.35571980476379395
fan/maillots-fan (1011).jpeg,Japan,0.3890371322631836
fan/maillots-fan (1012).jpeg,Newcastle United,0.35571980476379395
fan/maillots-fan (1013).jpeg,Rio Ave,0.3553895354270935
fan/maillots-fan (1014).jpeg,Espagne,0.35910868644714355
fan/maillots-fan (1015).jpeg,Paris Saint-Germain,0.35571861267089844
fan/maillots-fan (1016).jpeg,Vasco da Gama,0.3596891462802887
fan/maillots-fan (1017).jpeg,Albania,0.3348049223423004
fan/maillots-fan (1018).jpeg,Vasco da Gama,0.3596891462802887
fan/maillots-fan (1019).jpeg,United Arab Emirates,0.32518506050109863
fan/maillots-fan (102).jpeg,FC Barcelone,0.35661083459854126
fan/maillots-fan (1020).jpeg,Vasco da Gama,0.3559603989124298
fan/maillots-fan (1021).jpeg,RB Leipzig,0.34986168146133423
fan/maillots-fan (1022).jpeg,Colombia,0.3653876781463623
fan/maillots-fan (1023).jpeg,Korea Republic,0.35157057642936707
fan/maillots-fan (1024).jpeg,Colombia,0.3653876781463623
fan/maillots-fan (1025).jpeg,Korea Republic,0.3736346960067749
fan/maillots-fan (1026).jpeg,Kyrgyzstan,0.35852962732315063
fan/maillots-fan (1027).jpeg,AC Milan,0.3594968914985657
fan/maillots-fan (1028).jpeg,Suede,0.3600810468196869
fan/maillots-fan (1029).jpeg,Tottenham Hotspur,0.3738638162612915
fan/maillots-fan (103).jpeg,LFC,0.35203325748443604
fan/maillots-fan (1030).jpeg,Suede,0.3600810468196869
fan/maillots-fan (1031).jpeg,Armenia,0.34914886951446533
fan/maillots-fan (1032).jpeg,Celta de Vigo,0.386405348777771
fan/maillots-fan (1033).jpeg,Ajax,0.3553597331047058
fan/maillots-fan (1034).jpeg,United Arab Emirates,0.3550184369087219
fan/maillots-fan (1035).jpeg,Japan,0.34802910685539246
fan/maillots-fan (1036).jpeg,United Arab Emirates,0.3550184369087219
fan/maillots-fan (1037).jpeg,Japan,0.32292813062667847
fan/maillots-fan (1038).jpeg,Borussia Dortmund (BVB),0.31857290863990784
fan/maillots-fan (1039).jpeg,Corinthians,0.3605777621269226
fan/maillots-fan (104).jpeg,Fluminense,0.4032660722732544
fan/maillots-fan (1040).jpeg,Sweden,0.36742210388183594
fan/maillots-fan (1041).jpeg,Heracles,0.30014559626579285
fan/maillots-fan (1042).jpeg,Sweden,0.36742210388183594
fan/maillots-fan (1043).jpeg,Japan,0.31161537766456604
fan/maillots-fan (1044).jpeg,South Korea,0.34379076957702637
fan/maillots-fan (1045).jpeg,RB Leipzig,0.3667103350162506
fan/maillots-fan (1046).jpeg,Brazil,0.3743731677532196
fan/maillots-fan (1047).jpeg,Turquie,0.4030139446258545
fan/maillots-fan (1048).jpeg,Brazil,0.3518684506416321
fan/maillots-fan (1049).jpeg,Valencia CF,0.38656163215637207
fan/maillots-fan (105).jpeg,Saint Kitts and Nevis,0.3404499292373657
fan/maillots-fan (1050).jpeg,Turquie,0.4030139446258545
fan/maillots-fan (1051).jpeg,Flamengo,0.3598112463951111
fan/maillots-fan (1052).jpeg,Grêmio,0.38369250297546387
fan/maillots-fan (1053).jpeg,Real Madrid,0.34266960620880127
fan/maillots-fan (1054).jpeg,Ghana,0.31978872418403625
fan/maillots-fan (1055).jpeg,Grêmio,0.38369250297546387
fan/maillots-fan (1056).jpeg,Brazil,0.34648704528808594
fan/maillots-fan (1057).jpeg,Club América (Mexico),0.3826664090156555
fan/maillots-fan (1058).jpeg,AFC Ajax,0.3622215986251831
fan/maillots-fan (1059).jpeg,Fenerbahçe SK,0.3882473111152649
fan/maillots-fan (106).jpeg,Moreirense,0.368439257144928
fan/maillots-fan (1060).jpeg,Club América (Mexico),0.3826664090156555
fan/maillots-fan (1061).jpeg,Japan,0.3185901939868927
fan/maillots-fan (1062).jpeg,Everton,0.3493775427341461
fan/maillots-fan (1063).jpeg,New Zealand,0.33160436153411865
fan/maillots-fan (1064).jpeg,Moreirense,0.34749114513397217
fan/maillots-fan (1065).jpeg,Everton,0.3493775427341461
fan/maillots-fan (1066).jpeg,Albania,0.36247751116752625
fan/maillots-fan (1067).jpeg,Newcastle United,0.34940069913864136
fan/maillots-fan (1068).jpeg,Atlanta United FC,0.3521032929420471
fan/maillots-fan (1069).jpeg,Adana Demirspor,0.35794970393180847
fan/maillots-fan (107).jpeg,Japon,0.288053035736084
fan/maillots-fan (1070).jpeg,Newcastle United,0.34940069913864136
fan/maillots-fan (1071).jpeg,Barcelona,0.352434903383255
fan/maillots-fan (1072).jpeg,Japan,0.3715057075023651
fan/maillots-fan (1073).jpeg,Bordeaux,0.36381036043167114
fan/maillots-fan (108).jpeg,Moreirense,0.368439257144928
fan/maillots-fan (109).jpeg,Saint Kitts and Nevis,0.3725017011165619
fan/maillots-fan (11).jpeg,Albania,0.3653230667114258
fan/maillots-fan (110).jpeg,AFC Ajax,0.39169108867645264
fan/maillots-fan (111).jpeg,Vancouver Whitecaps,0.34133341908454895
fan/maillots-fan (112).jpeg,Manchester City,0.3657580614089966
fan/maillots-fan (113).jpeg,Inter Milan,0.35915255546569824
fan/maillots-fan (114).jpeg,Saint Lucia,0.36248260736465454
fan/maillots-fan (115).jpeg,Trabzonspor A.Ş.,0.35693293809890747
fan/maillots-fan (116).jpeg,Wolverhampton Wanderers,0.3703070282936096
